*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=energenie breakout board
*Date=11:04:07
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;19.462;-18.111;0;Bottom;Via12
2;;;10.8737;-19.6973;0;Bottom;IMG2
3;;THT;15.9631;-42.2093;0;Bottom;J1
4;;;43.8943;-43.854;0;Bottom;TXT2
5;;;26.0667;-4.17505;0;Bottom;TXT1
6;;;42.2403;-22.9426;0;Bottom;Copper Fill81
7;;;32.9946;-25.1015;0;Bottom;Copper Fill77
8;;;16.7386;-27.2098;0;Bottom;Copper Fill28
9;;;53.4986;-41.0521;0;Bottom;TXT2
10;;;44.2518;-36.3282;0;Bottom;TXT2
11;;;3.6322;-27.3368;0;Bottom;Copper Fill29
12;;;3.6322;-40.0368;0;Bottom;Copper Fill14
13;;;10.7696;-34.7282;0;Bottom;Via15
14;;;3.6322;-55.2767;0;Bottom;Copper Fill54
15;;;47.5997;-28.2892;0;Bottom;Copper Fill49
16;;;3.6322;-14.6368;0;Bottom;Copper Fill35
17;;;32.1818;-47.3519;0;Bottom;Copper Fill9
18;;;3.6322;-37.4967;0;Bottom;Copper Fill16
19;;;53.6538;-24.6126;0;Bottom;TXT2
20;;;19.7104;-57.4866;0;Bottom;Via13
21;;;3.6322;-19.7168;0;Bottom;Copper Fill85
22;;;9.1694;-31.3246;0;Bottom;Copper Fill20
23;;;3.6322;-14.6368;0;Bottom;Copper Fill90
24;;;26.6192;-23.7554;0;Bottom;Via6
25;;;28.2448;-32.5184;0;Bottom;Copper Fill88
26;;;28.5107;-42.4083;-90;Bottom;Raspberry Pi1
27;;;4.8641;-57.4866;0;Bottom;Copper Fill40
28;;;6.6294;-52.4828;0;Bottom;Copper Fill4
29;;;12.3952;-46.1074;0;Bottom;Via10
30;;;53.7244;-20.2382;0;Bottom;TXT2
31;;;5.7404;-38.8049;0;Bottom;Copper Fill44
32;;;51.7653;-32.4422;0;Bottom;Copper Fill69
33;;;34.7726;-32.0612;0;Bottom;Copper Fill66
34;;;10.9982;-27.5908;0;Bottom;Copper Fill27
35;;;3.6322;-29.8767;0;Bottom;Copper Fill76
36;;;3.6322;-45.1168;0;Bottom;Copper Fill59
37;;;3.0988;-4.83235;0;Bottom;Copper Fill38
38;;;6.4516;-16.3386;0;Bottom;Copper Fill31
39;;;46.9647;-36.3157;0;Bottom;Copper Fill51
40;;;11.303;-36.0744;0;Bottom;Copper Fill17
41;;;3.6322;-27.3368;0;Bottom;Copper Fill78
42;;;1.397;-48.9649;0;Bottom;Copper Fill41
43;;;53.6804;-48.7737;0;Bottom;TXT2
